,Power,ghi
0,195.45454545454547,1451.6598827017842
1,1206.6666666666667,3221.3472983580837
2,3213.4285714285716,5045.390819051857
3,5320.714285714285,6724.2779056380305
4,6805.714285714285,8117.9471262640445
5,7777.941176470588,9120.576238229007
6,8171.666666666667,9658.857860771393
7,8187.1875,9694.095261512715
8,7875.833333333333,9223.863133887133
9,7158.333333333333,8282.114605675531
10,6041.142857142857,6937.677800052461
11,4449.0,5292.053894469583
